ActorCountryCode,MonthYear,EventRootCode,EventCount,AvgGoldScore,AvgTone
ERI,198808,01,1,0.0,7.14285714285714
ERI,198901,01,14,0.0,7.698380392862453
ERI,198901,02,6,3.2000000000000006,5.3847678574815312
ERI,198901,03,3,4.0,7.3394495412844
ERI,198901,04,10,3.4899999999999998,6.1045238542175939
ERI,198901,05,4,3.4,8.7682252388134732
ERI,198901,06,4,6.0,7.3394495412844
ERI,198901,09,3,-2.0,7.3394495412844
ERI,198901,10,3,-5.0,5.42134023583549
ERI,198901,11,2,-2.0,5.5004314063848145
ERI,198901,12,4,-4.0,2.9945600888063724
ERI,198901,16,1,-4.0,9.87341772151899
ERI,198901,19,1,-10.0,5.26315789473684
ERI,198902,02,2,3.0,8.1138907175773554
ERI,198902,04,1,1.9,5.5185537583254
ERI,198902,05,3,3.4,6.0826051726780994
ERI,198902,11,5,-2.0,6.0474960678848095
ERI,198902,17,1,-9.2,8.06451612903226
ERI,198902,19,7,-9.7142857142857135,4.5260298380886139
ERI,198903,01,1,0.0,2.31660231660232
ERI,198903,02,5,4.0,8.56353591160221
ERI,198903,03,5,4.0,4.5320994794679041
ERI,198903,04,11,3.836363636363636,3.8730172027170506
ERI,198903,05,8,3.4625,4.6818391623775693
ERI,198903,06,1,6.0,5.47945205479452
ERI,198903,07,1,7.0,5.84415584415584
ERI,198903,08,6,8.3333333333333339,3.97543884604573
ERI,198903,11,1,-2.0,4.1501976284585
ERI,198903,17,2,-5.0,1.66666666666667
ERI,198903,18,2,-9.0,1.66666666666667
ERI,198903,19,4,-10.0,2.5771299829877261
ERI,198904,04,9,5.8666666666666663,4.9358301010330221
ERI,198904,05,4,3.4,6.02766798418972
ERI,198904,10,2,0.0,6.27009646302251
ERI,198904,11,3,-2.0,5.89496248660236
ERI,198904,12,2,-5.0,6.27009646302251
ERI,198904,17,1,-5.0,4.8780487804878
ERI,198904,19,1,-10.0,3.75
ERI,198905,01,8,0.0,4.2045344339876207
ERI,198905,02,4,3.75,7.7647483051324651
ERI,198905,03,3,4.0,5.92105263157895
ERI,198905,04,13,3.5846153846153848,4.9147914564445481
ERI,198905,05,9,3.4,5.46649291487628
ERI,198905,06,2,6.7,3.85510778833722
ERI,198905,08,4,7.5,7.8852753881149695
ERI,198905,11,8,-2.0,5.5805107567617149
ERI,198905,12,4,-4.0,4.0839656375242654
ERI,198905,15,2,-7.2,2.83505154639175
ERI,198905,17,2,-5.0,4.34885826725949
ERI,198905,19,14,-9.9642857142857135,4.4752260729169588
ERI,198906,01,1,0.0,5.50660792951542
ERI,198906,02,1,3.0,4.64547677261614
ERI,198906,03,4,4.0,6.3815837136854308
ERI,198906,04,27,5.333333333333333,6.4652112287047965
ERI,198906,05,7,3.4857142857142853,6.3147281330564695
ERI,198906,07,4,7.0,7.229894164118031
ERI,198906,08,2,5.0,5.47520661157025
ERI,198906,10,2,-5.0,5.47520661157025
ERI,198906,11,2,-2.0,2.8408731013339752
ERI,198906,12,1,-4.0,9.72522383451683
ERI,198906,17,2,-5.0,3.9525716399704054
