ActorCountryCode,EventRootCode,EventCount,AvgGoldScore,AvgTone
BDI,01,14095,-0.017048598805950579,-0.19117323863600125
BDI,02,8697,2.8436932276127815,-0.14411458912716549
BDI,03,10903,4.2630743831448026,2.6955829434878837
BDI,04,45853,2.7526421388550069,2.1791498351469425
BDI,05,12110,5.3158794388585955,3.0260593765408781
BDI,06,2823,6.2729011691043084,1.8896293137508493
BDI,07,5426,7.5765388870344719,1.3466182468040555
BDI,08,6006,6.99050949050949,0.718666178649414
BDI,09,1581,-2.0,-2.1067629396662149
BDI,10,1906,-4.9422875131164741,-0.23950561936865086
BDI,11,7826,-2.0,-1.5373959480165498
BDI,12,2159,-4.1412691060676243,-0.32734920993851452
BDI,13,2359,-5.2703688005412586,-2.5008719359102241
BDI,14,1878,-6.6384451544195953,-3.9633477384766662
BDI,15,1108,-7.1999999970735606,1.2998211889488753
BDI,16,2100,-5.9414285714285757,-1.2792018273485017
BDI,17,4667,-5.3455324617217963,-1.2430191706515796
BDI,18,2512,-9.4034633757961785,-1.7282448694423225
BDI,19,14224,-9.9743391451068621,-1.4412400861637586
BDI,20,135,-9.9962962962962969,1.7372534264240811
BEL,01,101126,0.076918893271419722,0.83327098621789131
BEL,02,45516,3.0822040601233032,1.2167676757053227
BEL,03,102355,4.11443310045566,2.347369230793408
BEL,04,354481,2.69752962775967,2.01417019768208
BEL,05,64763,4.848913731770951,2.5655321686910346
BEL,06,18909,6.2873340739182026,1.9076396207414112
BEL,07,19548,7.24817884209357,2.3685334748977649
BEL,08,23244,6.3423679229048355,0.42333500775307731
BEL,09,11371,-2.0,-1.2968199649812751
BEL,10,8427,-4.9691284730467826,0.64767704492465472
BEL,11,40095,-2.0,-0.88023847258102517
BEL,12,15236,-4.2321123802021789,1.0096263737791906
BEL,13,11597,-5.26850047449084,-1.4637501583995149
BEL,14,5650,-6.550973451327434,0.86965124397186877
BEL,15,2655,-7.1999999993534356,-1.5077223686989218
BEL,16,8302,-5.2120693808720731,0.56236090320681009
BEL,17,36281,-5.1555414679386855,-1.983619652349133
BEL,18,9270,-9.4610032362459542,-3.1469205929235078
BEL,19,49445,-9.9705329153605,-2.5859245169690075
BEL,20,378,-9.98015873015873,-3.32031459702812
CAN,01,475303,0.047812237671244026,1.5663466149145457
CAN,02,260250,2.9733817483448948,1.7735003309924433
CAN,03,335480,4.2178499462664991,2.9501938519057656
CAN,04,1245889,2.5754663536672382,2.36619179740031
CAN,05,329469,4.3337409591652216,3.3673074253308117
CAN,06,132951,6.2897127514879756,2.1412775233570711
CAN,07,125458,7.3014993068653968,3.0250966346469608
CAN,08,139668,6.43537531861271,1.4972891740127081
CAN,09,71395,-2.0,1.0692672546779332
CAN,10,47920,-4.9929043971868019,1.5139731406943708
CAN,11,210235,-2.0,0.80725851948483
CAN,12,69860,-4.1670890062849866,1.3739342924757088
CAN,13,42058,-4.9802748588348162,0.80653155402421572
CAN,14,22871,-6.5423680643609812,1.4598135527897735
CAN,15,6798,-7.1999999991021575,1.9150391089538137
CAN,16,23507,-5.1487259114265838,1.5903028054438093
CAN,17,194116,-5.14644233343045,-0.0068536442665579917
CAN,18,52266,-9.26346955956071,-0.65209632475917145
CAN,19,219423,-9.95458771414118,0.43790530524839028
CAN,20,538,-9.9488847583643114,-0.19656710944710803
CHN,01,752547,0.028011805250580207,2.3674845155283553
CHN,02,387682,2.9536003735129843,2.5512310712915447
CHN,03,717758,4.1995850968734434,3.0746155074108468
CHN,04,2516060,2.7641153628544428,3.2879257396095496
CHN,05,679402,4.897900801177034,3.6806757246323278
CHN,06,323502,6.3450587633780771,2.0036455477200557
CHN,07,138276,7.3105101393468086,2.8350142684672703
CHN,08,164882,6.4373551994759888,1.9483186868437399
CHN,09,87525,-2.0,1.6645638008579444
CHN,10,85823,-4.9825193161556482,2.2224394435415484
CHN,11,376886,-2.0,1.3345685066827846
CHN,12,135716,-4.2497770965816564,1.8091914169376462
CHN,13,89568,-4.8381475530232478,0.92737518594640733
CHN,14,69968,-6.583552481134233,1.6552171565428171
CHN,15,24176,-7.1999999987377095,1.0722412944888149
CHN,16,57528,-5.5229088443821945,1.5214502596279798
CHN,17,248164,-5.2784658532130253,0.7629003456140514
CHN,18,46310,-9.3278881451090481,0.36265347749487653
CHN,19,193035,-9.9339834744994437,0.7226000268189009
CHN,20,1576,-9.9803299492385786,0.80115252053946739
CYP,01,47145,0.0288323258119697,2.8468085157820835
CYP,02,20850,3.0178129496585835,3.1410862005628397
CYP,03,42271,4.1387476046776648,3.409169557870396
CYP,04,135893,2.9532463040259067,3.0503445973183325
CYP,05,38275,4.8373821033475295,4.0490791431666944
CYP,06,7492,6.2965029366310468,2.1631848405475771
CYP,07,9055,7.400320265110123,2.8479974735992419
CYP,08,9535,6.4561090718405874,2.2953855506599972
CYP,09,5024,-2.0,1.9478901370203021
CYP,10,5674,-4.9268593584772651,2.63995984514241
CYP,11,13311,-2.0,2.2589442844169834
CYP,12,12709,-4.1599653788653708,3.5067584552461994
CYP,13,4418,-4.9457673156569024,2.7821769537837739
CYP,14,1978,-6.5743174924165828,2.309379571990863
CYP,15,1804,-7.1999999990484413,2.4961048369906225
CYP,16,4312,-5.7558673469387749,2.6485952767373178
CYP,17,8928,-5.3196684587813641,0.55356905821554125
CYP,18,1718,-9.2613504074505233,0.046005827398589577
CYP,19,9107,-9.93620292083013,1.1322081865730169
CYP,20,203,-9.9901477832512313,3.4704862725196546
ESP,01,152983,0.059567402916240873,1.8278724770993551
ESP,02,71240,2.9724284110142585,2.1707114479671921
ESP,03,115166,4.1849391312514133,3.1033844290199046
ESP,04,468777,2.63046885825593,2.6937534875547344
ESP,05,108991,4.5778587224426079,3.2354475502422693
ESP,06,36554,6.2485473547865222,2.3881705344905027
ESP,07,30426,7.2845329653712936,2.7725072456312971
ESP,08,44885,6.4225465077420072,1.8792268621131474
ESP,09,18639,-2.0,0.91553340362825164
ESP,10,17129,-4.9810252218589444,1.4431664345876469
ESP,11,69079,-2.0,0.82228235199133715
ESP,12,25551,-4.16058279805734,1.7282472727256677
ESP,13,16388,-5.0668293874962629,0.85972101214408747
ESP,14,15449,-6.5564437827691116,1.4266533926709666
ESP,15,2427,-7.1999999996856427,1.3099389813629065
ESP,16,9707,-4.81703925002575,1.3555523997323475
ESP,17,76072,-5.1708355242201369,0.10640073871374958
ESP,18,16332,-9.3405277981876065,0.35356215153170206
ESP,19,80997,-9.96131338197711,-0.34373845570238309
ESP,20,297,-9.9326599326599325,-0.040917629736871436
FRA,01,483831,0.087769283079140115,1.4771172155247365
FRA,02,218877,2.9818624158981621,1.8883565016771495
FRA,03,408367,4.1853369640128246,2.3786813769182507
FRA,04,1475582,2.7952178868523272,2.4151780496762374
FRA,05,369038,4.8118535220053014,2.6610554854627657
FRA,06,91417,6.3037487558333627,2.1486033844645847
FRA,07,78316,7.3258950919185652,2.0672587499866779
FRA,08,130322,6.93074078052823,1.3799858714661979
FRA,09,54638,-2.0,0.378438223746315
FRA,10,40808,-4.9903160165730958,1.5235017952147432
FRA,11,230022,-2.0,0.71345551726057577
FRA,12,81138,-4.2350657035082966,1.6082899338177876
FRA,13,53886,-5.384738151180203,-0.029157354102401962
FRA,14,38085,-6.6014572666404092,1.0227429495655151
FRA,15,12463,-7.1999999991735768,0.35442335852985157
FRA,16,34453,-5.1047020578676419,1.3990144441221939
FRA,17,165849,-5.248749163333513,0.079270835814505738
FRA,18,62737,-9.28491161515533,-0.15399427692033463
FRA,19,240377,-9.9724807281894687,-0.48116426607558205
FRA,20,2153,-9.987227124941942,-1.856953623076725
GBR,01,1045878,0.0295247629330695,1.4985911862842762
GBR,02,517636,2.9423637459777039,1.5514634501641222
GBR,03,722946,4.1904854580599835,2.4990724907844784
GBR,04,2745418,2.7166401982371866,2.2891786805096874
GBR,05,658243,4.290067650042964,2.7786964922982733
GBR,06,179633,6.2872334149645184,1.9989277675759989
GBR,07,201184,7.3117057024990766,2.1641968956459103
GBR,08,262634,6.4339270619950195,1.6079552592880326
GBR,09,149924,-2.0,0.681266980047659
GBR,10,120321,-4.9847443113324408,1.3322875891918702
GBR,11,516123,-2.0,0.82491717217659732
GBR,12,173557,-4.1995378480545824,1.4263178020324458
GBR,13,140213,-4.9597883224310877,0.64066641322985862
GBR,14,61950,-6.5787893462469738,1.0810991800149061
GBR,15,19356,-7.1999999994481882,1.5397696106679937
GBR,16,62036,-4.89497872201546,1.4970608665475977
GBR,17,441762,-5.1501374042877037,-0.077631508404112176
GBR,18,125140,-9.3283602365350813,-0.2424569268422358
GBR,19,490601,-9.969816612685257,0.4530835981887264
GBR,20,1790,-9.974301675977653,-0.14099365155965279
IRN,01,518111,0.0019268071968676164,2.2172022214616653
IRN,02,247890,2.9168994312085497,2.6623713070808059
IRN,03,378573,4.2052700535189187,2.2273944010709781
IRN,04,1287127,3.0093530008640883,2.5080380494820123
IRN,05,447641,4.49477684142183,2.48326939098664
IRN,06,117631,6.3342299226203451,1.8895351509277696
IRN,07,52699,7.3779654265260071,1.7578213810876675
IRN,08,138211,6.566640860712968,1.4598816578452423
IRN,09,50723,-2.0,1.7397239339621962
IRN,10,66735,-4.9616318455681787,2.4065325113481753
IRN,11,332902,-2.0,1.5166986463549565
IRN,12,111664,-4.1691015110665246,1.9268275172092477
IRN,13,115839,-5.23492088170592,1.9554794650172986
IRN,14,33529,-6.5574428107011844,2.04431350563672
IRN,15,12025,-7.1999999995082913,1.5871458405697287
IRN,16,128763,-6.2130868339426,1.5273508775438873
IRN,17,166766,-5.2371886355548947,0.96586982912522945
IRN,18,51750,-9.4441642512077291,0.90678043646489215
IRN,19,203407,-9.9683172162216636,0.35344778475372235
IRN,20,1022,-9.9657534246575334,0.91350116353671107
