ActorCountryCode,EventRootCode,EventCount,AvgGoldScore,AvgTone
ARM,01,13985,0.079778333930381876,2.1343519925819456
ARM,02,6110,2.9631260229132557,1.9142257590500533
ARM,03,15309,4.2544712259515771,2.8783182562256857
ARM,04,51838,2.7610941779977587,2.6595906723328806
ARM,05,16356,5.6576607972784521,3.8068362528884863
ARM,06,4038,6.6390292227651928,0.80642992087135368
ARM,07,2687,7.5659843696818534,2.6204848237244409
ARM,08,3056,6.8219895287958119,1.5630830860837877
ARM,09,930,-2.0,1.2337383023560415
ARM,10,1721,-4.988378849506101,2.0977785531355484
ARM,11,5533,-2.0,1.3451710445983716
ARM,12,2648,-4.1593655589123868,1.9960797563589534
ARM,13,1016,-5.1940944881889788,1.9224433232454057
ARM,14,1213,-6.5527617477328937,1.5900848139847756
ARM,15,905,-7.1999999974709175,1.6870324816515097
ARM,16,905,-5.283314917127071,2.29869369484119
ARM,17,3311,-5.2274841437632125,0.41205234410289943
ARM,18,850,-9.32764705882353,0.85652772308547087
ARM,19,9536,-9.9720008389261743,0.38688428973250771
ARM,20,215,-10.0,1.9961757203279531
ATG,01,54,0.014814814814814817,4.2960844825731455
ATG,02,20,2.8850000000000002,2.9505705842522589
ATG,03,124,4.2338709677419351,3.9951790454368821
ATG,04,398,2.5728643216080394,3.7142383368949248
ATG,05,124,5.8048387096774183,5.1814996852568465
ATG,06,45,6.20888888888889,3.9243054290751149
ATG,07,19,7.2736842105263166,4.5199480538740984
ATG,08,25,7.36,4.6444776581116631
ATG,09,15,-2.0,3.8260353221007386
ATG,10,6,-5.0,4.1627225939693995
ATG,11,21,-2.0,2.5974908006188864
ATG,12,57,-4.0,5.5541901277618368
ATG,13,7,-4.4,3.7950838544341785
ATG,14,6,-6.5,2.4898324177638567
ATG,15,6,-7.2,6.79012345679012
ATG,16,6,-4.0,5.5945944772613556
ATG,17,21,-5.2952380952380951,1.4748554416779467
ATG,18,13,-9.0,3.9837145443472086
ATG,19,39,-10.0,2.2169113428325078
AZE,01,12426,0.022034443907934968,2.9713044410873932
AZE,02,6532,3.0356399265156155,2.3987674626468576
AZE,03,16579,4.1908378068526027,2.9924509479580554
AZE,04,53223,2.8157676192471479,2.9849724080189621
AZE,05,18148,5.5196936301836308,4.0567629987326388
AZE,06,4218,6.3871503083159809,1.6917555549266263
AZE,07,1724,7.5080626451222381,3.3755307636354321
AZE,08,2694,7.1224944320712691,2.4074649781828517
AZE,09,905,-2.0,2.0500354458321732
AZE,10,1454,-4.9828060522696012,2.4620607386864006
AZE,11,5133,-2.0,1.7606701409494254
