,SHORT_NAME,LAT,LONG,SUPPORT_YEAR,SUPPORT_COMMENT,SHORT_NAME_ORIGINAL
0,Saudi Arabia,25.0,45.0,1993,Member countries in the organisation 'the Islamic Conference' assisted the Bosnian government with financial means.,The Islamic Conference
1,Saudi Arabia,25.0,45.0,1994,Member countries of the organisation 'the Islamic Conference' as well as Turkey assisted Bosnia with financial means., The Islamic Conference
2,Saudi Arabia,25.0,45.0,1993,Member countries in the organisation 'the Islamic Conference' assisted Bosnia with financial means.,The Islamic Conference
3,Saudi Arabia,25.0,45.0,1992,"As from late 1992, the member countries in the organisation 'the Islamic Conference' assisted Bosnia with financial means.",The Islamic Conference
4,Saudi Arabia,25.0,45.0,1995,Member countries of the organisation 'the Islamic Conference' assisted Bosnia with financial means., The Islamic Conference
5,Saudi Arabia,25.0,45.0,1994,Member countries of the organisation 'the Islamic Conference' as well as Turkey assisted Bosnia with financial means., The Islamic Conference
6,Saudi Arabia,25.0,45.0,1993,Member countries in the organisation 'the Islamic Conference' assisted Bosnia with financial means.,The Islamic Conference
7,Saudi Arabia,25.0,45.0,1995,Member countries of the organisation 'the Islamic Conference' assisted Bosnia with financial means., The Islamic Conference
8,Saudi Arabia,25.0,45.0,1994,Member states of the organisation 'the Islamic Conference' assisted the Bosnian government with financial means.,The Islamic Conference
9,Saudi Arabia,25.0,45.0,1993,Member states of the organisation 'the Islamic Conference' assisted the Bosnian government with financial means.,The Islamic Conference
10,Saudi Arabia,25.0,45.0,1994,Member states of the organisation 'the Islamic Conference' assisted the Bosnian government with financial means.,The Islamic Conference
11,Saudi Arabia,25.0,45.0,1993,Member states of the organisation 'the Islamic Conference' assisted the Bosnian government with financial means.,The Islamic Conference
12,Saudi Arabia,25.0,45.0,1995,Member countries of the organisation 'the Islamic Conference' assisted Bosnia with financial means. The Bosnian army launched an offensive in January.,The Islamic Conference
13,Saudi Arabia,25.0,45.0,1994,Member countries of the organisation 'the Islamic Conference' as well as Turkey assisted Bosnia with financial means.,The Islamic Conference
14,Saudi Arabia,25.0,45.0,1992,"As from late 1992, the member countries in the organisation 'the Islamic Conference' assisted Bosnia with financial means.",The Islamic Conference
15,Turkey,39.059012,34.911546,1995,Member countries of the organisation 'the Islamic Conference' assisted Bosnia with financial means.,Turkey
16,Turkey,39.059012,34.911546,1995,Member countries of the organisation 'the Islamic Conference' assisted Bosnia with financial means.,Turkey
17,Turkey,39.059012,34.911546,1994,Member countries of the organisation 'the Islamic Conference' as well as Turkey assisted Bosnia with financial means.,Turkey
18,Turkey,39.059012,34.911546,1994,Member countries of the organisation 'the Islamic Conference' as well as Turkey assisted Bosnia with financial means.,Turkey
